idx	C3L-01663	C3N-03486	C3L-02665	C3L-02163	C3N-03875	C3N-01846	C3N-02375	C3L-02619	C3L-02649	C3N-02339	C3N-02252	C3N-02285	C3N-02288	C3L-02963	C3L-02627	C3L-00568	C3L-02349	C3L-04071	C3N-01893	C3L-00081	C3N-01194	C3L-03961	C3N-01025	C3L-00927	C3L-04391	C3L-00415	C3L-02170	C3N-02300	C3N-03662	C3L-02951	C3N-01028	C3L-02130	C3N-03092	C3N-03424	C3N-04155	C3L-02969	C3L-02127	C3L-02650	C3L-00603	C3L-02625	C3L-01606	C3N-02425	C3N-01892	C3N-03441	C3L-03963	C3L-04014	C3L-00923	C3N-03072	C3L-01285	C3L-02660	C3N-00555	C3L-01000	C3L-02891	C3N-03093	C3N-02374	C3N-03051	C3N-03886	C3N-02675	C3L-04013	C3N-03425	C3L-01838	C3L-03965	C3L-03272	C3L-00993	C3L-00904	C3N-02434	C3L-02669	C3L-00965	C3N-02283	C3L-03678	C3L-02968	C3N-00247	C3L-02164	C3L-02552	C3N-03880	C3N-02435	C3N-03076	C3L-02646	C3N-02523	C3L-02964	C3L-03962	C3L-02629	C3L-02168	C3N-02289	C3N-02426	C3N-02494	C3N-03848	C3L-02546	C3N-00211	C3N-01017	C3N-03204	C3N-00221	C3N-03882	C3N-03851	C3N-02284	C3L-00445	C3L-01455	C3N-04124	C3N-04162	C3L-03961	C3L-01884	C3L-02358	C3N-01411	C3N-01020	C3N-00497	C3N-04127	C3L-02648	C3N-03877
hsa-miR-219b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-219b-5p	0	0	0.2325	0	0.6753	0	0	0.3601	0	0	0	0.1176	0.1775	0.1644	0	0	0	0.1961	0	0	0.8422	0.543	0	0.948	0	0	0	0.8345	0	0.4053	0	0	0.1641	0	0.6143	0.4473	0	0	0.2705	0	0	0	0.1514	0	0.5225	0	0	0	0	0.2334	0	0	0.8327	0	0.2321	0	0.3929	0.1705	0.1362	0	0	0.1989	0.3029	0	0.1615	0	0	0.7635	1.0336	0.615	0.4652	0	0	0	0	0.2275	0.168	0.4876	0.2192	0.1483	0.2822	0	0.5676	0.2261	0	0	0	0.1094	0	0	0	0	0.2443	0.5797	0.1496	0	0	0	0.3912	0.6907	0.4448	0	0	0	0	0	0.1992	0.4797
hsa-miR-22-3p	9.3644	9.2943	10.028	9.13	9.5217	9.2636	9.2479	9.826	9.4043	9.6115	9.6035	9.3704	9.2385	9.6124	9.2531	9.2332	9.8271	9.9208	9.6632	9.4169	10.7228	9.9416	9.3433	9.3541	9.8425	9.374	9.8121	9.382	9.6712	9.5392	9.7058	10.5719	9.7842	9.7832	10.2428	10.2656	9.5563	9.5557	9.4949	10.0599	9.7024	8.763	9.9743	9.6499	9.9382	10.1923	9.7752	9.0545	9.286	9.8759	9.9559	9.4443	10.4875	10.3094	9.2615	9.5959	9.0991	9.9399	8.0338	10.0511	9.681	9.658	9.6202	9.3488	9.6551	8.8372	9.7362	9.1111	7.982	9.5279	10.0052	10.4863	10.0112	9.935	9.9701	9.3643	9.6969	9.6396	9.9637	9.3746	9.307	9.8291	9.9446	9.9472	9.6015	9.851	9.9088	9.5522	9.9484	9.1604	9.3536	9.4554	9.0212	9.6608	9.5528	9.1036	9.9671	10.122	10.0237	10.0247	9.0026	8.588	9.1746	9.463	9.2724	9.7039	10.3435	8.7671
hsa-miR-22-5p	7.9	7.9967	8.3392	7.6377	8.362	8.5767	8.3078	8.4253	7.6482	8.7248	8.1777	8.3285	8.1411	8.7367	7.5381	8.3605	8.4982	8.6786	8.729	7.8279	8.8561	8.7778	8.0609	7.5046	8.1733	7.8381	8.9087	8.2136	8.3106	8.4024	8.6407	8.8961	8.1589	7.8476	8.3286	8.3102	8.2479	7.5315	8.1373	7.9262	7.5514	7.4724	8.8038	8.1279	8.3493	8.5771	8.0641	7.9955	6.9095	8.0225	8.1957	8.2189	8.1961	8.5537	8.2461	7.9486	7.3759	8.8457	6.352	7.9499	8.5323	7.6754	7.7975	7.2557	7.5561	7.1895	8.398	7.6184	6.7777	8.3053	8.22	8.9764	8.675	8.97	8.0337	8.1524	7.9669	7.8013	8.3123	8.3234	7.4513	8.2582	8.638	8.7921	8.8504	7.7764	8.4614	8.4953	8.7172	8.0204	8.28	8.0588	6.4702	7.9486	7.8547	8.512	8.3975	8.529	8.0616	8.1901	8.175	7.656	7.7181	8.6337	8.1286	7.8694	8.2749	7.2042
hsa-miR-221-3p	12.7471	11.4914	11.8124	12.6988	13.019	12.376	12.8684	12.756	11.0262	12.5076	12.2327	13.1687	12.9279	11.7984	13.5287	11.7742	12.7617	11.874	13.1312	12.1389	12.0095	12.2227	12.2108	12.5825	12.0632	12.6301	12.0356	11.9009	11.9171	11.6489	11.9711	11.3558	11.3735	12.0626	12.6184	11.5779	11.7182	11.8666	12.0892	11.3934	12.5733	12.4136	12.2068	12.185	11.1971	12.1497	11.6879	12.2859	11.1153	11.8496	11.8909	12.0436	11.0497	11.8289	12.895	12.4322	9.5737	12.8331	10.2202	11.3196	11.9426	10.9864	12.8396	11.1864	11.7334	12.917	11.4746	10.7026	10.2362	13.3611	11.3945	12.4358	11.8462	13.1267	11.8042	11.6535	10.1421	12.0142	11.3357	12.575	10.9632	11.2678	12.2034	11.8101	12.6536	11.962	12.2453	12.124	12.537	12.676	12.7509	12.2166	12.1219	10.0459	11.3956	12.6803	12.1792	11.4044	11.6685	11.805	13.378	12.2513	11.6742	12.1469	11.7748	11.8611	12.4939	12.1566
hsa-miR-221-5p	7.4545	6.9338	6.9638	7.6195	7.9921	7.2449	7.2368	7.1745	6.5232	7.1481	7.0987	7.5307	7.428	7.434	8.4788	6.4045	7.5733	7.4981	7.4121	7.1405	7.1163	7.1896	6.5539	6.8592	7.2583	5.7404	7.4999	6.8264	6.9616	6.8314	7.3014	6.7528	7.1197	7.1617	7.6548	6.9777	6.5689	7.3821	7.4388	6.6313	6.6075	7.0484	6.943	7.3346	6.9785	7.481	7.4287	7.2482	5.1882	7.1729	7.1269	7.2947	6.8979	7.0946	7.1428	7.6665	5.5307	8.4342	5.9118	6.6266	6.9669	6.5107	7.8785	6.9109	7.5937	7.0314	6.5381	6.6547	5.173	8.1393	6.6428	7.8073	6.8238	7.4528	6.9488	6.8009	5.9939	6.9848	6.9454	7.0303	6.0544	6.9836	7.1669	7.3071	7.9476	7.0407	7.5014	6.9847	7.0948	6.9571	7.6506	7.0144	7.3988	6.3852	5.7513	7.3242	7.2007	7.0035	7.0679	7.6057	7.8888	6.913	7.4474	6.8843	6.4618	7.2703	7.739	7.177
hsa-miR-222-3p	11.4007	9.965	10.3657	10.8172	11.735	10.9496	10.636	10.8982	10.0951	10.2253	10.6085	11.3715	10.9658	9.8862	12.372	9.4405	11.0919	10.3922	11.2672	10.607	11.1719	10.6193	10.674	11.0807	10.6402	10.1587	10.0759	10.2292	10.1173	10.071	10.5812	9.6683	10.2981	10.6371	11.2964	10.2474	9.6676	10.6035	10.1048	10.2436	10.4772	10.2087	10.1547	10.4688	9.7347	10.3914	10.3919	10.7832	9.1862	10.2887	10.9503	10.1275	9.9571	10.6413	10.8865	11.2628	8.2801	10.9053	8.8426	9.876	10.5105	9.7592	11.1895	10.0302	10.6776	11.2545	9.9175	9.2687	8.21	11.613	9.8955	11.3378	9.9024	11.0523	10.4158	9.8971	9.0556	10.5129	9.8107	10.7119	9.375	9.9524	10.209	9.7771	10.8852	10.2714	10.6809	10.3364	11.1544	10.6906	11.0696	10.3725	11.0026	8.7391	9.607	10.7744	11.2336	9.868	10.0895	10.3015	11.6713	10.4562	9.9055	10.5308	9.7638	10.0959	11.354	10.6423
hsa-miR-222-5p	0.8065	0	1.3641	1.0287	1.8822	0.922	1.1855	0.648	0.2129	0	0.7706	1.2889	1.9064	0	0.9777	0	0.3464	1.0136	0.9125	1.0607	2.1274	0.4252	1.1301	0.6606	0.719	0.7089	0.9557	0.8345	0.7745	0.572	0.2079	0.6996	0.6802	0.5723	1.515	0.9326	0.1733	1.4281	1.2268	0.4481	0	1.5897	1.35	2.0732	0.5225	1.122	0.3148	1.4025	0	1.0382	1.1097	0	0.5545	1.6166	0.6075	1.2821	0.2098	0.7025	0.1362	1.0289	0.7096	0.6703	1.0365	0	0.8713	0.5843	0.6157	0	0.4319	1.2736	0.8164	1.2672	0.9445	0.7631	1.0061	0.5968	0	0.7687	0.5775	0.5192	0.2822	0.4408	1.0599	0.3271	1.1024	0.7183	1.5039	0.5584	1.1157	1.3326	2.6333	2.6078	1.5994	0.6944	0.1496	0.4124	0.9983	0.3832	0.3912	1.2332	0.6246	0.2867	1.742	1.4947	0.2691	0.828	1.6876	1.4379
hsa-miR-223-3p	10.3713	13.3574	10.5725	8.7533	11.8846	9.8765	10.8136	13.9047	9.893	11.9207	10.7029	13.3208	12.4683	12.6599	12.8032	11.9289	10.6602	12.5159	12.2766	9.7611	11.6448	12.3294	11.0207	11.5998	9.0029	13.8722	12.814	12.0498	9.8274	12.2768	12.8267	11.9189	10.9837	12.3704	10.8021	10.6866	11.2464	12.1991	10.6046	11.3881	11.9888	12.659	11.5424	12.0038	12.2729	11.1557	12.3188	9.7571	8.4686	11.7518	12.2742	11.5275	11.9113	13.362	12.0356	11.9078	9.8901	11.7385	9.5712	13.3468	12.156	11.1049	10.2092	11.4735	10.606	12.6448	11.477	10.6614	8.9686	10.5852	11.7604	12.4687	11.693	11.2162	10.3332	10.4792	10.4294	11.7047	10.4293	13.3232	11.7386	10.7154	10.4533	11.2312	10.2702	11.7296	12.6247	10.8159	11.0809	12.485	11.5586	9.2829	10.659	9.5729	11.61	11.7454	11.7823	9.7488	10.4764	12.48	13.1891	11.6205	10.7474	14.9154	12.2819	13.1027	12.2866	9.3061
hsa-miR-223-5p	3.6986	5.1279	3.6488	1.4137	4.2931	3.3144	3.2837	5.8038	2.4886	3.4285	3.3616	4.992	4.7505	4.452	4.3496	3.5154	3.0813	5.0581	4.2875	1.3336	3.9138	4.0773	3.6878	4.3253	1.949	5.9225	5.1603	3.5807	2.8009	4.9917	5.2848	3.4075	3.8332	4.5332	3.2266	3.5734	3.4195	4.7475	3.1265	3.4947	4.5046	4.5832	3.619	4.7018	4.6607	3.861	4.7532	2.9555	3.4465	3.8861	4.7984	3.6172	3.8198	6.0037	3.969	4.5952	2.5869	4.0494	2.3389	4.9676	4.3186	3.5955	3.4189	3.7652	3.882	4.2958	3.8463	3.4969	2.1096	2.7185	4.1178	5.248	4.337	3.0105	3.284	2.9375	2.6576	4.2244	3.0101	5.3598	3.5476	3.73	3.0412	3.2193	2.6891	4.1518	4.8678	3.0713	4.2955	5.1567	3.4967	2.499	3.4305	2.3093	3.2175	3.0874	4.4118	2.8246	3.4756	4.7567	4.9615	3.4929	3.8511	6.8161	5.1476	5.4304	4.8047	2.0086
hsa-miR-224-3p	4.8596	5.3841	5.0447	6.0217	5.3713	5.7153	5.5283	4.2155	3.3982	4.0859	5.2637	4.953	5.9693	4.0404	4.0085	4.3062	7.0704	3.9729	3.0262	7.1449	4.0408	4.9722	5.4836	5.4394	4.8424	4.8113	3.9686	3.3087	4.9863	4.3085	3.5859	4.1477	3.719	4.6843	5.4724	4.6114	5.5172	4.7096	6.4816	4.8088	5.6424	7.5351	4.5454	6.3617	4.1715	5.6087	5.1647	5.1797	2.5731	4.8409	3.9519	4.5842	5.4477	2.8479	5.1162	4.5874	4.0161	4.2145	3.1571	4.2506	3.2273	3.7931	5.1994	5.5671	5.7282	6.4354	3.702	3.665	3.4978	4.748	3.6486	4.2052	4.1576	4.4307	5.5919	4.0481	2.6576	4.9333	4.9632	4.4312	3.5741	3.0679	4.7043	4.2009	5.196	5.2639	5.0213	4.4719	2.9285	4.85	6.2043	6.6444	6.3868	3.0735	4.5614	4.5477	3.9562	4.7715	6.5007	4.4019	4.7258	2.6498	2.3364	2.7748	3.1694	4.0893	4.5998	5.3142
hsa-miR-224-5p	10.3657	12.1739	11.4749	12.8235	11.8168	12.569	12.2802	11.2281	8.6215	9.832	11.7778	10.8685	12.8887	10.08	10.0824	12.3331	13.6215	7.5427	9.9031	13.6382	10.1043	11.5075	13.0749	12.9853	11.4719	13.2769	8.7918	9.4381	10.7392	10.3758	8.2876	9.7194	9.6476	10.7075	11.6665	10.1798	12.9789	10.255	13.3734	10.491	12.2844	14.2546	11.3133	13.0027	8.1006	11.0395	9.6029	11.2112	8.7382	10.8353	10.0836	10.922	10.725	7.5475	12.7891	10.409	10.2704	8.7948	8.9032	9.7783	8.7583	8.7552	11.9032	12.6087	11.4729	13.7555	10.0305	7.8289	10.9721	10.7784	10.2936	9.5853	9.2389	10.3718	12.3064	9.6432	8.3111	12.06	10.2381	10.5878	9.5344	9.3774	11.0515	9.2868	11.4081	12.1384	10.679	10.8215	9.5592	12.3289	12.0191	13.2447	12.8858	6.7003	11.238	11.8299	10.8285	10.0343	12.8513	9.8054	11.6217	7.8731	6.6881	8.0046	10.8157	10.6804	9.5969	10.8204
hsa-miR-2276-3p	0.4016	0.4219	0.9065	0	0.7625	0.4414	0.7893	0.648	0	0.2892	0.5891	0.8868	0.1775	0	0.1871	0	0.1836	0.1961	0	0	0.4817	0	0	1.4553	0.2444	1.3108	0.1295	0	0.1917	0.572	0	0	0.3115	0	1.6431	0.2409	0	0	0	0	0	0	0.2884	0.5977	0.1959	0.1979	0	0.4492	2.6052	0.3373	0.2546	1.0813	0.2094	0.2384	0	0.3338	0.5553	0	0.3752	0.7602	0.1452	0	0	0.7338	0	0	0.2042	0.4317	1.4569	0	0.592	0	0.1411	0	0.2242	0.5968	0	0.1382	0	0.4058	0.5181	0	0.1642	0	0.4672	0	0.3361	1.0724	0.3594	0	0	0	0	0.4551	0.7272	0.2876	0.5295	0	0.2088	0	0	0.102	0.5124	0	0.4958	0	0.1992	0.839
hsa-miR-2276-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1992	0
hsa-miR-2277-3p	1.2576	1.8943	1.0352	2.1816	2.7379	1.48	1.0651	1.7697	2.3604	1.1511	1.9727	2.6858	2.5787	1.5518	2.8543	2.2358	0.9634	1.2961	1.9678	2.1619	3.1259	2.4477	2.1138	0.8584	1.5995	0	0.7291	2.4081	2.3565	1.7096	1.5162	2.7531	1.2903	2.492	3.5048	2.0319	2.1105	1.3173	1.5651	1.6716	1.1773	3.3284	2.1829	2.1587	1.9123	2.1318	1.4366	2.7748	2.943	2.2289	3.3864	2.3269	2.3834	1.6166	2.4231	2.1324	3.1157	1.3251	1.3696	2.7114	1.372	2.0883	1.6868	3.8994	1.2037	3.8394	1.3339	1.1511	2.9646	1.603	1.5373	1.9835	1.5105	1.0326	1.7456	1.7618	1.5733	1.7277	2.0982	2.1232	2.4406	1.5969	1.8201	1.3374	1.4938	1.6309	1.1246	1.3201	1.7676	2.9222	1.7742	3.13	2.2856	2.5105	2.8532	1.4671	2.4123	0.9355	2.2443	1.9353	2.6408	1.6773	1.1885	0.9328	2.4076	1.0241	2.1871	2.584
hsa-miR-2277-5p	2.3408	1.0136	1.5479	1.3563	2.8812	2.499	1.496	1.9917	2.2682	0.9992	1.5932	2.5459	2.0502	1.0612	2.1577	1.3914	2.2216	1.0136	1.7198	2.991	2.0604	1.2455	2.1138	1.3276	0.9433	0	1.2686	2.4081	1.4358	1.4772	2.2857	1.7534	0.5675	0.7911	2.7456	2.0947	1.5432	1.0664	1.4058	1.7978	1.4006	2.9802	2.553	1.9348	1.8554	0.6675	1.8806	1.8305	3.1745	2.0261	3.4128	2.3897	1.2666	1.3377	2.3753	2.3689	2.0461	0.323	1.9527	1.7773	1.6887	0.9161	1.7878	3.9206	2.0287	2.0574	1.2897	3.0574	3.4525	2.036	2.3745	2.2197	0.9445	1.8881	1.2294	2.1427	1.1602	1.3265	2.0982	2.1232	1.6601	1.3497	1.2906	0.5101	0.5636	0	1.5039	1.4084	1.626	1.5968	2.4537	0.9155	2.2856	2.5415	2.6673	1.5235	1.9568	0.6856	0.5531	1.7369	2.025	2.1278	1.742	1.7938	1.0181	1.617	1.6197	2.2669
hsa-miR-2278	0	0	0	0	0	1.0522	0	0.3601	0.2129	0	0.2651	0.1176	0.3355	0	0	0	0	0.3686	0	0.8157	0	0.1561	0	0.6606	0.5474	0	0	0.1347	0.7745	0	0	0.3215	0	0	0.7343	0	0	0	0	0	0	0	0.2884	0	0.5225	0.372	0	0.6303	0.9536	0	0	0	0	0	0.4319	0.1765	0.2098	0	0	0	0.398	0	0.6636	0.5281	0	0	0	0.6071	0.905	0	0.3261	0	0	0	0	0.2275	0.3184	0	0.2192	0	1.2656	0	0.3116	0.3271	0	0	0	0.2111	0.3987	0	0	0.2887	0.4532	0	0.2851	0.7327	0	0	0	0	0	0.2867	0	0	0	0.4726	0.1992	0.1782
hsa-miR-2355-3p	4.7832	4.3716	5.8453	5.6163	4.7584	4.8359	4.8324	5.8612	4.9496	4.0574	4.7452	5.4386	5.2839	4.0509	5.273	4.69	4.9219	4.3984	5.2601	5.6051	3.9326	3.8898	4.2886	6.2638	5.5647	4.5628	5.1791	4.8235	4.3949	4.486	5.095	4.2741	4.0054	4.3387	4.4832	4.3015	4.7432	4.6365	5.8036	3.5585	2.9423	4.9544	5.6507	5.0812	4.5123	4.8697	4.1259	3.7063	3.7773	3.8514	5.7925	5.5777	4.4955	5.3538	6.4694	5.1706	6.3724	3.8629	4.0308	4.6399	4.5118	4.1818	3.5104	4.9045	4.0462	3.8055	4.4435	4.3962	6.0654	3.0624	5.2102	4.5114	4.4566	5.2884	4.208	5.3683	6.1897	4.42	5.3818	4.4093	5.1348	3.7429	4.3845	4.6146	5.8016	3.0738	5.6678	4.4409	4.4436	4.5088	6.9382	4.5054	4.4003	3.4933	4.3535	4.2293	5.5783	4.2896	3.9957	4.1155	5.2209	4.5086	3.4338	5.705	3.6418	6.0611	6.2066	4.1981
hsa-miR-2355-5p	1.6007	2.0796	2.9014	2.6324	2.2572	1.8814	2.771	2.6751	2.1177	2.0383	1.6406	2.8813	2.4113	2.9107	2.4413	1.8281	1.1514	2.3437	2.6938	3.0863	0.6732	1.6119	1.4137	2.9077	1.9141	0	2.6679	1.4138	0.7745	2.5119	2.0359	1.8564	1.915	1.618	1.7031	1.4943	2.2331	1.7171	2.3574	1.6716	0	2.6249	2.6579	2.4906	2.0705	2.2255	1.3701	0.9359	1.0499	1.3676	3.0252	2.4499	1.8701	2.5266	3.7051	2.2943	3.1918	0.5867	1.3133	2.1966	1.5906	1.2207	1.1164	2.6562	1.4107	1.5836	1.3339	1.2601	3.202	1.4709	2.3745	1.3491	2.2633	2.1082	1.9477	2.8717	3.1342	1.8128	2.304	2.4719	2.382	1.5969	2.0047	1.8257	2.9433	1.0903	3.2517	1.6807	1.1157	1.82	2.9137	0.9155	0.6357	0.8006	2.0209	2.281	1.6857	1.7144	1.1674	0.6907	2.682	2.0534	0.8897	2.2915	0	3.2125	3.5065	2.055
hsa-miR-2392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-23a-3p	14.5435	14.2846	15.5207	15.7721	14.2513	14.2452	14.5294	14.4084	13.9356	14.7063	14.7289	14.2767	14.7545	14.2765	14.6401	14.8487	13.8617	14.611	15.2107	15.0616	14.8916	14.8878	15.0661	15.1202	14.767	14.1061	13.9199	14.61	14.982	14.2192	14.3463	14.3442	13.8592	14.0104	14.6454	14.6593	15.0955	14.0343	14.1024	14.2048	14.9052	13.9561	14.3361	14.281	13.8332	13.822	14.5455	14.6027	13.8692	14.2924	14.2154	14.3131	14.7476	14.3313	15.1092	14.3165	14.2347	14.4392	13.109	14.7651	14.7809	15.1031	14.9035	14.6844	14.6827	15.0681	14.4947	14.2419	13.33	14.754	14.2264	14.7552	14.2959	14.799	14.8524	14.2329	14.5645	14.0071	14.6692	14.2687	14.6211	14.1664	14.6551	14.4474	14.6929	14.527	14.3483	14.5759	15.3323	14.5981	13.978	14.9091	13.8289	14.4357	14.8763	14.3201	14.4673	14.5139	15.4889	14.1331	14.553	14.5288	14.1728	15.006	13.9919	13.8362	14.7754	14.0467
hsa-miR-23a-5p	3.6379	4.4296	6.1346	4.2156	4.2257	4.8177	4.8778	3.9504	3.5819	4.1684	3.9184	4.8758	4.8123	4.499	3.627	3.9427	2.4176	3.7413	5.3058	5.1773	5.1	4.9617	3.2205	3.4579	3.9008	5.5581	4.4562	5.4328	4.6612	3.5689	2.9675	4.2459	3.0407	4.2117	4.2004	4.0869	4.5602	2.9751	5.1514	2.9589	3.455	4.4849	4.4682	5.9945	2.7066	3.3389	3.9089	3.6017	2.401	5.2599	3.9519	5.5332	5.1315	4.197	5.0794	3.7406	3.3552	4.3974	1.9153	6.0311	3.8633	4.3894	4.0576	3.693	3.1407	5.598	2.9433	4.5437	3.3574	3.9153	4.239	4.5552	6.5869	4.2835	3.5555	2.2502	3.5385	2.9885	3.6797	3.1369	3.1861	2.614	3.9731	4.4339	4.2458	3.2554	3.4378	5.3911	4.3136	5.1971	4.2227	5.3057	4.0765	2.8193	4.8063	4.5814	4.9561	3.4242	4.1428	4.8822	3.5202	4.4614	3.462	4.2017	5.0438	2.8741	4.1483	2.921
hsa-miR-23b-3p	13.1103	12.6251	11.9407	13.0798	11.9454	12.6006	12.5442	13.0175	11.9627	12.6996	13.5518	12.8697	12.5708	12.7356	12.4908	13.0572	12.2177	12.2452	12.5113	13.6804	13.178	13.5757	13.4623	12.3661	12.7504	13.0562	12.4638	13.3978	12.8628	12.4404	12.5052	12.6306	12.1701	12.6127	13.1296	12.5187	12.7047	12.787	13.8849	13.015	12.6072	12.9547	12.9578	12.7027	12.7093	12.5715	13.2027	13.2835	13.2527	13.1962	13.0787	12.8749	12.931	10.7321	13.0671	12.4296	12.825	12.4081	11.6877	12.4619	12.904	12.6871	13.119	12.9598	12.2851	12.9906	12.5728	13.4552	13.9169	13.5468	12.536	12.2316	12.5055	13.1345	13.3601	13.2388	12.7194	12.0451	12.6261	12.7691	14.5169	12.4759	13.0268	12.3527	12.9107	12.5572	12.279	12.5938	12.4247	13.1029	12.7902	13.2163	13.6908	11.3251	13.0925	13.0458	12.5672	12.6075	13.0716	12.6093	12.1841	12.6447	12.5887	13.3288	12.5971	12.1698	12.5121	12.7751
hsa-miR-23b-5p	5.3731	4.917	4.2222	4.7439	3.9	5.092	5.595	4.1129	4.2214	4.4652	5.8701	5.176	4.5065	4.1814	4.3787	6.2766	4.3413	4.3373	5.0761	6.503	5.9961	5.878	4.5886	4.5986	5.1505	7.0712	4.4123	5.8935	5.174	4.8366	4.211	4.9228	4.1198	4.6775	4.7625	4.5343	4.8808	4.3502	6.4783	4.6463	5.4968	5.2385	5.1096	5.0083	4.427	4.8697	6.1469	5.0021	5.1776	4.8758	5.2353	5.1581	5.5475	3.0335	5.5299	3.9736	4.7621	4.6846	3.3929	5.1431	5.4451	4.2394	4.7323	4.8613	4.2575	5.3904	4.61	5.5124	6.2421	5.6283	4.62	5.0539	5.0057	5.6456	5.2343	5.1146	5.2683	3.7294	4.603	4.7542	6.3841	4.2287	4.9989	4.1187	5.3894	4.3701	4.1421	5.0945	5.1199	5.7723	5.0209	6.3076	5.6088	2.917	5.224	5.0046	5.3814	4.0188	4.3553	4.4834	3.6913	4.7319	5.2676	5.1724	6.1015	3.8125	4.5275	4.6167
hsa-miR-23c	0	0	0	0	0	0	0	1.7085	0	0.1518	0.2651	0.1176	0	0	0	0	0	0	0.2345	0.1487	0	0.2969	0.3077	0	0	0.2768	0	0.1347	0.1917	0.2168	0	0	0	0.1657	0	0.4473	0	0	0	0.1015	0.1714	0	0	0	0	0	0	0	0	0	0	0.5324	0.3922	0	0.2321	0.1765	0.3929	0.1705	0	0	0.2771	0	0.3029	0.2881	0	0.7362	0	0.2319	0	1.4709	0.1723	0	0	0	0	0.2275	0	0	0	1.1316	0.148	0	0	0	1.0367	0	0	0.1094	0.0986	0	0.1648	0	0.2443	0	0	0.5272	0.4142	0.5423	0.2088	0	0	0.3708	0	0.1761	0.4958	0	0	0
hsa-miR-24-1-5p	2.2785	1.238	1.0352	1.5735	1.6273	0.922	0.6287	1.2736	1.5403	1.6363	1.8965	1.9268	1.6894	1.3615	3.1071	1.8281	1.602	1.2961	1.4671	1.8933	2.2527	2.4172	2.1138	1.8299	2.0164	1.1822	1.5255	2.4344	1.8876	1.4772	1.6647	2.3202	2.2061	2.2551	2.0652	2.5173	1.1867	2.0298	2.4957	2.9989	2.296	1.5192	1.78	2.1587	2.1671	2.7518	2.06	2.0372	0.6184	1.9626	1.3471	2.0828	2.3834	1.3881	1.7838	1.7412	2.2014	2.3618	1.3696	2.1597	1.3117	2.1853	2.5622	2.3782	1.8972	0.4145	2.0149	2.1089	2.6803	1.7994	1.0105	1.8207	1.4025	2.3493	2.0682	1.6872	1.5121	1.59	2.0419	1.9318	3.1337	2.0759	1.8685	2.1629	1.3389	2.1855	1.5691	1.4506	1.7373	1.0089	3.333	2.2529	2.7878	0.8995	1.3387	1.7767	1.3516	2.5148	2.0409	2.068	1.059	0.5257	1.5453	1.8469	1.4007	1.3508	2.5574	1.9607
hsa-miR-24-2-5p	7.1181	5.7904	8.0618	7.7885	6.5595	6.7334	6.0162	6.0082	6.1	6.618	6.3287	6.5226	6.3649	6.2904	7.2262	6.593	5.878	6.3919	6.6155	6.6739	6.6847	6.3755	6.9614	7.4917	7.2151	5.1053	6.2294	6.7232	6.6446	6.2218	6.8852	6.6597	6.4191	5.8079	6.7094	6.7771	6.7302	6.4665	5.9309	6.8319	6.225	5.5216	6.2999	6.6814	6.4304	5.9447	6.0678	6.5651	4.7383	6.5678	6.549	6.4061	7.1182	6.8857	6.4291	6.8782	6.3253	6.5713	5.3364	6.3725	6.6454	7.0778	6.8485	6.9757	7.0894	5.8684	6.6559	6.5458	5.7328	6.4478	6.2639	6.7558	6.4929	6.5259	6.8846	6.3628	6.9236	6.2382	6.7937	6.2321	6.8009	6.5912	6.1769	6.5529	6.5996	6.5996	6.7516	6.3151	7.103	5.9122	6.1064	6.363	5.8632	6.7787	6.7772	6.1459	7.1144	6.5324	7.1728	6.6095	6.3301	6.4262	6.3313	6.4424	5.6322	5.9748	7.061	5.8757
