idx	C3N-03848	C3L-03272	C3N-02494	C3L-00568	C3L-02625	C3L-00923	C3N-03204	C3N-03093	C3L-01455	C3N-01017	C3L-02627	C3N-03441	C3L-02660	C3L-02963	C3N-02339	C3N-03425	C3L-02650	C3L-02546	C3N-03875	C3N-04162	C3N-02374	C3L-02168	C3N-03877	C3L-01884	C3N-04127	C3N-02435	C3L-02969	C3N-00497	C3L-03962	C3N-04124	C3N-02252	C3N-01846	C3L-02163	C3N-02675	C3L-02964	C3N-02375	C3L-02127	C3L-04013	C3L-02665	C3L-00993	C3N-03882	C3N-00221	C3N-02425	C3L-03963	C3L-04071	C3N-00555	C3L-01000	C3L-02358	C3L-00603	C3L-02130	C3L-02669	C3N-03092	C3N-02575	C3L-02619	C3N-03851	C3L-02552	C3L-02164	C3N-01411	C3N-03486	C3N-02426	C3L-02648	C3L-02349	C3N-02434	C3L-03965	C3L-00904	C3N-03076	C3L-04014	C3N-02523	C3L-02649	C3L-00415	C3N-01020	C3N-01025	C3N-03424	C3L-03961	C3N-01028	C3L-00445	C3L-01285	C3L-02968	C3L-02891	C3N-03880	C3N-02289	C3L-04391	C3L-00927	C3L-01606	C3L-02951	C3L-01663	C3L-00081	C3N-02288	C3N-03051	C3N-01194	C3N-01892	C3N-02285	C3N-01893	C3L-02629
hsa-miR-2110	4.357	4.8029	4.6861	4.4506	4.3855	5.4288	4.8954	5.8258	5.2949	5.7189	4.7177	4.7584	4.705	5.0441	5.3764	4.8055	4.4381	4.9717	4.6153	4.3588	4.4341	5.1251	5.2732	4.6113	4.5735	4.2834	4.6885	5.4652	4.6989	5.406	5.372	4.9303	5.3941	4.6042	4.7391	5.4391	5.0954	4.8822	4.1916	4.8818	4.3867	4.8112	5.3263	4.4098	4.4637	5.6471	5.0474	6.0262	4.9984	5.0829	4.4466	4.9621	4.7687	5.3544	5.2965	6.1065	4.5668	5.0431	4.5849	5.7824	4.9439	5.361	5.0226	4.9771	5.3952	5.2302	4.9066	4.31	4.3989	5.36	4.8575	5.1871	5.5428	4.9443	5.2971	5.3031	5.0933	4.8216	4.9617	3.9855	4.4733	4.4581	5.8866	5.4473	4.6708	5.5279	4.9479	4.9772	5.0292	5.5926	4.7326	4.7858	4.7452	4.5646
hsa-miR-2113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105	0	0	0	0	0	0	0	0	0	0.1669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2114-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1313	0	0	0.4012	0	0.1918	0	0	0	0	0	0.2794	0	0	0.398	0	0	0	0	0	0	0.2901	0	0	0	0	0.1141	0	0	0	0	0	0.1228	0	0	0	0	0	0	0	0.3138	0	0	0	0	0	0	0	0.1392	0	0	0	0	0.1312	0	0.4593	0	0.2229	0	0	0	0.1334	0	0	0	0	0	0	0.1187	0	0	0	0	0	0	0	0	0	0
hsa-miR-2114-5p	0.4776	0.2953	0	0.1208	0	0	0.5517	0.1341	0.1398	0	0	0	0	0	0	0	0	0	0.5134	0.5134	0	0	0	0	0.162	0.1644	0	0	0	0	0	0	0	0	0.4494	0	0.1523	0.292	0	0	0	0.2198	0.1669	0	0.1884	0	0.1386	0.6166	0	0	0.4456	0.1663	0	0.4712	0.1135	0	0	0	0	0	0.1453	0	0	0.1392	0.2583	0.2118	0	0.2872	0.2515	0	0	0	0	0.3272	0.5248	0	0	0	0	0	0	0	0	0	0.1739	0.3781	0	0	0	0	0.1411	0.292	0.2811	0
hsa-miR-2115-3p	0	1.4347	0.5633	0.5226	0.3135	0.665	0.302	0.1341	1.0835	1.6142	0.6416	0.9781	0.1548	1.2456	1.9102	0	0.383	0.2114	0.1465	0.998	0.1918	1.184	0.1675	0.1874	0	1.2921	0	0.8296	0.1276	0	0.8864	0.8607	0.4618	0.2671	0	0.2563	0.8315	0.8361	1.4206	0.728	0.2914	0	0.5759	1.1093	0	0.5464	0	0.341	0	0.1171	0	0.8914	0.4596	2.0768	0.4949	0.3138	0.2899	0.5271	1.2898	0.3871	0.71	0.3932	1.7042	0.2662	0.7539	0.7072	0.4223	0.8246	0.1312	0.7266	0.4593	0.4414	0.2229	0.8187	0.6645	1.7544	0.6612	0.3375	0	0.2621	0.368	0.9352	0.2641	0.5149	0.7695	0.8471	0.5507	0.8255	0	0.1528	0.5981	0	0.4035	0.1766
hsa-miR-2115-5p	0	0.8439	0	0.1208	0.4479	0.2232	0.4322	0.3699	0.2672	0.1858	0.4179	0.8865	0.2945	0.2422	0.6778	0	1.0456	0.3957	0.2794	0.1922	0	0.6768	0	0	0.3076	0	0	0	0	0	0	0.5521	0.4618	0.0946	0	0	0.5315	0.1534	0.4172	0	0.153	0.2198	0.3165	0.43	0	0	0.2651	0	0.472	0	0.5383	0	0.322	0.8258	0	0.1654	0.5312	0	0.4449	0	0.1453	0.3932	0.8403	0.1392	0.1349	0.3965	0.2266	0.2872	0.2515	0	0.3218	0	0.1158	0.4666	0	0.9997	0	0.1786	0.258	0.6759	0.1334	0	0.5872	0.3304	0.5345	0	0	0	0	0.7401	0	0	0.1474	1.03
hsa-miR-2116-3p	1.3617	1.2404	1.3918	1.5888	0.9788	1.3726	1.5176	1.0507	1.2158	1.7964	0.923	1.67	1.203	0.7136	0.3102	1.7578	1.1482	0.706	1.0487	1.4381	0.9966	1.0857	2.1528	0.7601	1.5944	0.6814	0.4011	2.1551	1.7676	2.0984	1.1156	1.3961	0.4618	1.2772	0.3146	1.6047	0.9191	1.0069	0.7405	1.858	1.967	0.8663	0.9863	1.6777	1.1735	0.5464	1.6405	1.6476	1.1118	1.7875	1.8208	1.6775	1.1702	1.4867	1.4429	1.672	1.1532	1.8663	1.6633	2.0493	1.3124	1.6748	0.4209	1.6911	1.3611	1.7538	1.1312	1.7754	0.8172	1.8024	1.1696	1.0522	1.703	2.0644	1.6076	0.5847	1.5548	1.5084	1.1211	1.7614	1.1126	0.752	2.2068	0.9587	1.5782	1.7211	1.1124	1.1729	1.7872	1.5356	1.0911	1.5941	1.2622	1.6845
hsa-miR-2116-5p	0.3353	0	0.8952	0.4321	0.5708	0.8097	0.1589	0	1.0125	0.3503	0	0.4475	0.2945	0.543	0	0.7372	0.383	0.7741	0.1465	0	0.1918	0.7428	0.798	0.3532	0.4398	0.7861	0.2794	0.5178	0.8738	0.5095	0.2776	0.4326	0.2944	0.1834	0.3146	0.3692	0.6386	0.5347	0	1.2891	0.5337	0.4972	0	0.3004	0.355	0.3862	0.8534	0.6166	0.6605	0.8164	0.7077	0.6877	0.5851	0.9269	0	0	1.5319	0.2875	0.4449	0.4534	0.6134	0.1433	0.1544	0.6852	0.6675	0	0.4223	0.2872	0.1312	0.3356	0.3218	0.2375	0.5036	0.7106	0.7918	0.9066	0.6612	0.4806	0.258	0.4838	0.1334	0.4244	0.7682	0.8936	0.6568	0	0.5507	0.6591	0.8041	0.5329	0.1411	0.4185	0.8958	0.334
hsa-miR-2117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-212-3p	2.3747	1.8066	1.7606	3.0284	2.3232	2.5896	2.9764	3.5383	2.5316	2.8448	3.0301	2.9614	3.6366	2.9225	3.0349	2.7881	3.3822	2.1861	2.0353	4.7045	3.1866	2.1268	2.3043	3.4394	2.494	1.9172	1.7443	2.9515	2.7516	1.9482	2.2037	4.253	1.8342	2.772	3.3588	1.8186	2.2922	3.2173	4.6329	3.4389	1.8819	2.0452	2.4693	3.2751	3.9679	2.1795	2.3883	1.9757	1.3495	3.0774	3.6735	2.6444	2.0879	3.4309	2.9002	2.847	3.207	2.5486	3.102	1.6851	2.6057	1.8099	3.4211	3.4766	3.3107	2.8095	2.6488	2.4637	2.7473	3.5849	3.1288	2.195	4.1601	2.4477	2.95	2.8068	3.1767	2.0345	4.6714	2.8825	3.8544	1.9871	3.0762	3.1243	2.553	3.3345	2.0887	2.6572	3.044	3.8597	2.5933	2.9294	3.4601	3.4969
hsa-miR-212-5p	2.9396	3.5453	2.5062	3.0284	2.8699	2.9744	3.7875	3.8028	3.4557	3.6169	3.1257	4.003	4.6212	3.5135	4.4898	3.7832	4.7949	2.7571	3.0095	5.0343	4.0689	4.0695	4.0017	3.7232	3.5179	3.414	2.2768	3.622	3.7133	3.0724	3.1106	5.3974	3.7252	3.9862	4.7058	3.0849	3.0618	4.5085	5.3124	3.9237	2.5109	3.3295	3.5598	4.4863	4.4174	2.5635	2.8584	3.141	2.3944	3.8008	4.7383	4.0667	4.1903	4.4669	3.6199	4.1108	5.1036	3.69	4.4641	2.6253	3.3077	3.3039	4.6534	4.6962	3.5347	3.899	3.5709	3.4334	3.2872	4.3491	4.5769	2.4046	4.7451	3.9434	3.3105	3.8322	4.2124	3.1442	6.2648	3.5182	4.3485	3.8304	3.4785	2.4937	3.0866	3.9146	3.4121	3.6752	3.7402	4.4522	4.2387	4.2181	4.0624	4.1434
hsa-miR-214-3p	8.7366	9.0134	8.3223	8.6343	8.5357	9.6695	8.2362	9.2557	9.3196	8.3304	8.4252	8.1866	9.1725	8.5055	9.3426	8.7689	8.328	8.7887	8.7637	8.7264	8.299	8.927	8.8062	8.7488	9.1679	8.3758	8.9188	9.4666	8.4779	8.1189	8.6799	9.4582	8.4261	8.706	9.101	9.368	8.7619	8.1572	7.8183	9.2761	8.5885	8.5081	8.5277	9.0105	8.4916	8.3476	8.6909	8.7112	8.9855	9.2524	8.8014	8.7969	8.916	9.8157	8.6922	9.61	9.153	8.9859	8.2333	8.5762	9.0705	8.8999	9.1586	8.8524	9.2146	8.6912	8.8239	7.913	8.3448	9.0574	8.2444	8.986	9.1805	8.714	8.8494	8.4448	9.0261	8.1072	9.6763	9.0015	8.891	8.376	8.9305	9.0659	8.4441	9.2053	9.1599	8.1074	8.8914	9.2003	9.0284	9.3636	9.3888	9.2705
hsa-miR-214-5p	5.0693	5.2313	5.1989	5.1527	5.0138	5.7933	4.5883	5.0337	5.454	4.479	4.9181	5.0125	5.3606	4.7131	5.5709	5.1648	5.2343	5.4387	5.3788	4.8753	4.9208	5.4966	5.3579	5.2281	5.1907	5.255	5.4258	5.5151	4.7789	4.8504	5.2962	5.8228	5.3467	4.9526	5.5674	5.548	5.2342	4.6114	4.8244	5.3213	5.2237	5.5723	5.0871	5.3429	5.4071	4.6669	4.793	5.0247	5.1397	5.4935	5.4495	5.0066	5.4883	5.7731	5.4036	5.9983	6.0634	5.1898	4.6828	4.7336	5.6488	5.0006	5.4378	5.3222	5.7639	5.0831	5.3917	4.7249	5.2641	5.4876	5.0602	4.7992	5.633	5.4137	5.27	4.6504	4.9102	4.6618	6.1301	5.7113	5.0172	5.0006	5.2769	5.4187	4.8609	5.4075	5.0168	4.5056	5.1027	5.5724	5.6264	5.7564	5.8287	5.5698
hsa-miR-215-3p	0	0.5402	0	0.1208	0	0.1159	0.302	1.117	0	0	0	0	0.0795	0	0.6778	0	0	0.3957	0.2794	0	0	0.1041	0	0.8736	0	0.4459	0.1464	0.2298	0.3533	0	0.1454	0.3023	0.105	0.2671	0.1659	0	0.6386	0	0.7405	0	0.7411	0.3183	0.1669	0	0.355	0.206	0.1386	0	0	0	0.3464	0	0.322	0	0	0	0	0.2875	0.5672	0.3871	0.1453	0	0.5377	0	0	0	0.2266	0.1508	0	0	0	0	0.1158	0.3272	0	0.1698	0	0.2602	0.4769	0	0.5698	0	0	0.2284	0.1739	0.1373	0.1586	0	0	0	0	0	0	0
hsa-miR-215-5p	0.8359	0.8439	1.3383	1.152	1.2964	0.877	1.114	2.0071	1.4487	0.7546	1.229	1.1456	1.1671	1.4035	0.7821	0.9655	1.1482	0.3957	0.5134	0.998	1.4363	1.4442	1.3787	1.7476	0.6727	0.8837	1.3194	1.1433	1.4141	1.1831	0.7106	1.035	1.7066	0.8588	1.5604	0.5715	1.0017	1.0852	1.7431	1.2095	1.3599	0.93	0.7956	0.7608	1.9222	1.2517	1.1441	0.1228	0.472	0.8164	0.9964	0.5739	1.0003	1.4867	1.2578	0.5713	1.0011	1.216	0.9733	1.2352	0.9663	0.1433	0.6458	1.0803	1.0556	0.9627	1.5213	1.1451	1.5384	1.3626	0.8071	1.5697	1.2752	1.2632	1.017	0.9997	0.747	0.8405	0.9118	1.3184	0.661	1.0187	0.5872	0.8936	0.5969	0.8471	0.7632	0.2546	1.597	1.0821	0.6929	1.0852	0.8099	1.2826
hsa-miR-216a-3p	0	0	0	0.6881	0	0.5041	0	0	0.4926	0.1858	0	0	0.3596	0	0	0	0	0	0.1465	0	0	0	0	0.502	0	0	0.2794	0.1195	0.1276	0	0.3986	0.3023	0.3806	0.1834	0	0.2563	0.1523	0.4185	0	0	0	0.1141	0	0	0.1884	0.206	0.1386	0.1228	0.2552	0.2254	0	0	0.17	0	0	0.8878	0.5312	0	0	0	0.1453	0	0	0	0.372	0	0	0	0	0.1775	0	0	0.3227	0.3272	0.1969	0	0.3681	0.4806	0.1348	0.3772	0.661	0	0.1381	0.5149	0	0.1373	0.1586	0	0	0.7401	0	0	0.4035	0.334
hsa-miR-216a-5p	0.4776	0.1552	0	1.0942	0.3135	0.5041	0.302	0.4747	0.3843	0.3503	0	0.3132	0.6985	0.3496	0	0.1313	0.2042	0.3065	0.4012	1.0974	0.3611	0.2012	0.692	0	0.6727	0.4459	0.8911	0.428	0.5484	0.1452	0.7106	1.1904	0.4618	0.1834	0.4494	0.3692	0.7383	0.4185	0.2237	0.838	0.4176	1.2121	0.6899	0.3004	0.6397	0	0.1386	0.7749	0	0.592	1.4902	0.1663	0.322	0	0.2187	0.1654	1.0791	0	0	0.1675	0.2773	0.8761	0.1544	0.1392	2.0142	0	0.1177	0.1508	0.1312	0.6077	0.8071	0.4414	0.1158	0.8187	0	0.3218	0.2556	0.7864	0.9118	1.1343	1.0465	0	0	0.5149	0.2536	0.8471	0	0	0.9703	0.1528	0.5981	0.5347	0.4035	0.8331
hsa-miR-216b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.383	0	0.1465	0	0	0.1041	0	0	0	0	0	0	0	0	0	0.3023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1171	0.2399	0	0	0	0	0	0	0	0	0	0	0	0	0.1392	0	0	0	0.1508	0	0	0	0	0.2229	0	0	0	0	0	0.258	0.137	0	0	0	0	0	0	0	0	0	0	0.2696	0	0	0.4759
hsa-miR-216b-5p	0.6072	0.8439	1.1647	0.8365	0.5708	1.2763	0.4322	2.203	1.337	1.6775	1.0058	0.3132	1.0925	0.6308	0.8794	1.5388	0.9353	0.8392	0.9722	1.7748	1.1889	1.3626	0.5777	1.3368	0.9638	0.4459	0.8056	1.3033	0.6369	0.7096	0.7106	2.4095	1.8342	1.1942	1.781	0.9797	1.2915	0.1534	0.5879	0.838	0.8346	0.991	0.452	0.8562	0.355	0.8216	0.9318	0.1228	0	1.1268	0.8593	0.3153	1.7553	1.6135	0.987	1.2973	1.9191	0.9122	0.6799	0	1.2495	1.1034	0.8403	1.2741	0.5756	2.0018	0.8199	0	0.6521	1.4342	0.7002	1.3843	2.4181	0.8187	1.3001	0.7002	1.0467	0.0921	3.9717	2.0659	0.4724	0.2963	0.9291	0.4256	0.4009	1.0694	1.2597	0.471	1.7419	1.6934	1.5107	1.8399	2.2848	2.0896
hsa-miR-217	0.6072	1.0158	1.225	1.7093	1.2233	1.5061	0.4322	1.7804	2.1236	1.9063	0.6416	1.0643	1.7562	2.0059	0.5653	1.2805	0.5421	1.2752	1.1905	1.8337	1.2761	1.2308	0.798	2.288	1.3474	1.7198	1.7443	1.6194	1.0125	0.8001	2.2686	3.2669	1.7066	1.6012	0.6863	0.5715	1.3557	0.5347	1.1202	2.3786	0.5337	3.1803	1.442	0.7608	1.8119	0.206	0.7705	1.9427	0.6605	2.5198	2.622	1.1515	2.1703	2.4944	0.7266	1.9691	2.1171	0.9122	1.1402	0.3871	1.2495	1.4172	1.7042	1.5485	4.0776	1.3683	1.239	0.633	0.6521	0.8365	2.044	2.0151	1.9414	0.7106	1.8017	1.1695	1.6909	0.4108	3.5573	2.7392	1.5545	1.0977	0.2641	2.6398	0.9236	3.3057	1.3933	0.7447	2.396	1.4789	1.955	2.1983	2.3471	2.0447
hsa-miR-218-1-3p	0.1774	0	0	0	0	0.1159	0	0	0	0.1858	0	0	0	0	0	0.1313	0	0	0.2794	0	0	0.1041	0.3176	0.3532	0.3076	0	0.1464	0.1195	0	0	0.1454	0	0.105	0.1834	0.3146	0	0	0.1534	0	0	0.2914	0	0	0	0.1884	0.3862	0	0	0	0.3261	0	0	0	0	0	0	0	0	0	0.0862	0	0	0	0	0	0	0	0	0	0.6077	0	0	0	0	0	0	0	0	0	0	0	0.1558	0	0.1187	0	0	0.1586	0.1329	0	0	0.1411	0	0	0
hsa-miR-218-2-3p	0	0.1552	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2516	0	0	0	0	0	0	0.1675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-218-5p	11.0012	10.7123	10.8739	10.1026	10.6347	10.049	10.3697	9.5843	9.8958	9.3161	11.0042	9.8112	10.2363	10.3754	10.1311	9.8445	10.2237	9.8729	10.5851	10.5418	10.1898	10.142	10.3495	10.4171	10.9805	10.8665	10.2416	9.9083	10.1768	10.1437	10.1268	9.4824	10.5682	10.2941	9.5169	10.0903	10.0933	10.0466	9.8694	9.8499	10.3032	10.3025	9.9761	10.1553	9.3731	9.898	10.5971	9.9763	9.8957	10.5687	9.6424	10.2649	10.0951	9.1865	10.7357	9.7333	9.4418	10.0269	10.0965	10.0458	10.5081	10.5283	10.2098	10.5939	9.5766	10.1358	10.5243	10.3113	10.1125	9.7787	10.1237	10.2066	9.5776	10.6942	10.0817	10.0929	9.7568	10.5967	10.1026	10.2204	10.0589	10.4997	9.1119	10.0359	10.4473	9.6511	9.6508	10.1652	10.2223	10.3056	10.3188	10.1954	10.1079	10.3667
hsa-miR-219a-1-3p	0.726	0.423	0.4669	0	0	0.5868	0.6619	0.3699	0.1398	0.1858	0.6416	0.5704	0.6473	0.1262	0.1634	0.4658	0.5421	0.3065	0.6176	0.1922	0.5126	0.2922	0	0.1874	0.3076	0.5685	0.1464	1.3529	0.2449	0	0.3986	0.8607	0.3806	0.3462	0.9816	0.2563	0	0.5347	0.4172	1.2891	0.4176	0.1141	0	0.7608	0	0	0.2651	0.341	0.6605	0.3261	0	0.7932	0.8076	0.1747	0.6534	0.1654	0.5312	0	0	0	0.5098	0.1433	0.4209	0.5913	0.2583	0.3965	0.4223	0.4119	0.1312	0.478	0.4593	0.2375	0.5862	0.1729	0.3702	0.7002	0.3681	0.3375	0.3716	0.2621	0.5698	0.4244	0.9291	0.1187	0.6568	0	0.7632	0.2546	0.2788	0.417	0.4967	0.1534	0.1474	0.4759
hsa-miR-219a-2-3p	0	0	0.2523	0	1.065	0.7392	0.1589	0.4747	0.1398	0.1858	0.1532	0.1651	0.539	2.1906	0	1.5854	0.5421	0.2114	0.8057	0.3617	0.7748	0.1041	0.4535	0.3532	0.4398	0.1644	0.8056	0.6023	0.4541	0.5095	0.1454	0.3023	2.4267	2.4527	2.5542	0	0	0.4185	1.1202	0	0.5337	0	2.7838	0.3004	0	0.3862	0.3813	0.341	1.3495	0.4203	0.3464	0.4504	0.5851	2.461	0	0	3.0019	0.7325	1.8675	0.2445	0.1453	0.8761	0.5377	0	0	0.3965	0.1177	0.4119	0.8172	0.6077	0	0.2375	1.6655	0	0.3702	0.3218	0	2.0575	0.3716	0.3772	2.3415	0.4244	0	0	2.0933	0.5843	0	2.1303	0.2788	0.7401	0.2696	0	0.621	0.1766
hsa-miR-219a-5p	0.1774	0.2953	0.1316	0	0.1652	0	0.1589	0.2568	0	0	0.8352	0.1651	0.5941	0.1262	0	0.1313	0	0.3957	0.2794	0.5134	0.1918	0.2012	0.1675	0.502	0.162	0	0.2794	0.2298	0.4541	0.398	0	0	0.105	0.4211	0.1659	0	0.6386	0.924	0.4172	0.3363	0.2914	0.4105	0.6899	0.3004	0.8774	0.5464	0.4889	0.6166	0	0.4203	0	0.4504	0	1.1937	0	0	0	0	0.5672	0	0	0	0	0.5913	0.1349	0.3965	0.2266	0.2872	1.034	0.3356	0	0	0.5036	0.3272	0	0.9997	0.1334	0.2602	0	0	0.5698	0.6508	0.2641	0.4256	0	0	0	0	0.6163	0.1528	0	0.292	1.1266	0.334
hsa-miR-219b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-219b-5p	0	0.2953	0	0	0	0	0	0.1341	0	0.3503	0.1532	0	0	0.2422	0.1634	0.2516	0	0	0	0	0	0.1041	0	0	0	0	0	0	0	0	0	0	0.2028	0.4924	0.1659	0	0	0.292	0	0	0	0	0.452	0	0	0	0	0	0	0.3261	0	0.1663	0	0.4712	0	0	0	0	0	0.3175	0	0.2736	0	0	0	0	0	0	0	0	0	0	0.1158	0	0	0	0	0.3375	0.258	0	0.368	0	0	0	0.0896	0	0	0	0.2788	0.1528	0	0.292	0	0
hsa-miR-22-3p	10.0321	9.6599	9.5892	10.0906	9.7211	10.0838	10.1188	9.5545	10.0857	10.1966	9.9825	10.5143	9.7729	9.7315	9.667	10.0116	9.8028	9.6182	10.1181	9.9552	9.7692	9.7958	9.8545	10.2161	10.0965	10.2315	10.0269	10.2438	9.8994	10.0077	9.6544	10.2541	10.0216	9.6785	10.1465	9.4761	10.0394	9.8963	10.2243	10.3584	9.5663	10.1265	10.2739	9.8654	10.3538	10.1346	10.2708	9.3877	9.8694	10.1204	10.0221	10.0923	10.1046	10.7037	9.8493	9.5556	9.9791	9.8586	9.8043	9.3952	9.8709	9.9202	9.6735	9.7629	10.4196	9.8163	9.7741	9.8131	10.0225	9.9913	10.1254	10.1744	10.2317	9.7944	10.2228	9.8026	10.0635	9.8143	10.0915	9.9478	10.0387	9.6722	10.6468	10.5418	10.3379	10.4521	9.6228	9.8031	10.2681	10.2274	9.5993	9.9995	9.8083	9.9297
hsa-miR-22-5p	7.7527	7.7629	7.5381	8.2605	7.8703	8.0008	8.1863	7.6943	7.8704	7.9402	7.5507	7.9139	8.0844	7.6602	7.9413	7.7191	8.3287	8.1757	7.8917	8.1908	8.1055	8.2314	7.9213	8.2364	7.6056	7.9087	7.7524	7.9173	7.845	7.9927	8.3858	8.1254	8.4207	8.5354	8.1961	7.7544	7.6812	7.9111	8.0274	8.351	7.323	7.7579	8.4814	7.483	8.2131	8.3719	8.3819	7.8924	7.7498	8.177	7.9117	8.1032	8.6331	8.5019	7.6346	8.1726	8.3892	7.9831	8.5623	7.8383	7.8024	8.475	7.9294	7.7011	8.004	8.0359	7.4835	7.8661	7.7755	8.2586	8.7693	7.7519	8.0168	7.8165	7.8151	8.5031	7.8837	7.9135	8.0328	7.7957	8.4564	7.646	8.6124	8.2186	7.9562	8.5271	7.3373	8.3004	8.2765	8.1699	7.9644	8.3901	7.7473	8.1171
hsa-miR-221-3p	12.3576	12.2577	11.6467	12.1966	12.3283	11.5414	12.125	12.1735	12.1709	11.2838	11.9421	11.6317	12.4712	12.0351	12.4565	11.8684	11.9803	12.2843	11.9396	11.9703	12.4406	12.6138	11.8525	11.6638	11.4144	11.8477	11.8243	11.9718	11.7891	12.1224	12.4601	11.928	12.2156	12.7206	11.5124	12.1407	11.7236	11.7143	11.3957	11.9843	11.9792	12.2471	12.1681	11.5023	11.4569	12.0237	12.4582	12.7371	12.3161	12.3524	11.5035	11.7488	11.9967	11.6125	11.7548	11.9716	11.8999	11.7987	12.8586	12.6324	12.3194	12.471	12.3481	12.0803	11.4047	11.7874	11.8425	11.8979	11.8645	12.2835	12.0309	11.5192	11.7104	12.0795	11.5784	12.4789	11.7812	12.0634	11.3863	11.8738	11.961	11.8829	12.0944	12.2876	11.7256	11.7672	11.3496	12.3935	11.8879	12.2814	11.9384	12.1549	12.0662	12.1917
hsa-miR-221-5p	7.9556	7.7099	7.639	7.5493	7.9553	7.1201	7.5166	7.0446	7.4661	7.3269	8.077	7.6143	7.6109	7.3461	7.6617	7.4408	7.7507	7.5976	7.5999	7.4683	7.9062	7.532	7.4879	7.5427	7.3365	7.9438	7.6363	7.2424	7.2056	7.658	7.6658	7.2127	7.7718	7.7139	7.4965	7.2421	7.3725	7.1611	7.3881	7.4451	7.5153	7.601	7.6038	7.3202	7.4681	7.3136	7.8855	7.4151	7.5028	7.4823	7.3049	7.4335	7.4863	6.8301	7.6022	7.2944	7.404	7.3551	7.8228	7.2778	7.5525	7.8123	7.7089	7.3955	7.0624	7.5542	7.075	7.5293	7.4434	7.4919	7.5211	7.2448	7.0224	7.6637	7.006	7.6159	7.2328	7.4183	7.2414	7.5761	7.4357	7.6501	7.1814	7.7813	7.4716	7.2611	7.3248	7.9349	7.5493	7.3196	7.71	7.7759	7.766	7.6098
hsa-miR-222-3p	10.8554	10.4593	10.1022	10.4361	10.7986	9.9821	10.5043	10.5459	10.3918	9.7829	10.7269	10.1568	10.8401	10.071	10.5714	10.6176	10.3671	10.5503	10.3743	10.2329	10.7639	10.8829	10.1932	10.1244	9.9162	10.3658	10.5246	10.2048	10.1644	10.4462	10.5901	10.2261	10.4547	10.8037	10.2648	10.2778	10.254	10.044	10.0296	10.2323	10.4407	10.8601	10.3481	10.3051	10.0067	10.2525	10.4969	10.6938	10.6282	10.4903	9.9387	10.2714	10.3526	9.8829	10.2239	10.2347	9.9165	10.3982	10.8985	10.5338	10.6768	10.4168	10.6378	10.3935	9.9397	10.4711	10.2458	10.1717	10.3519	10.5373	10.3015	10.1301	10.1227	10.5098	10.1287	10.338	10.3123	10.1796	10.2462	10.264	9.9958	10.3784	10.3845	10.7805	10.3183	10.0272	10.1146	10.5941	10.557	10.5243	9.8909	10.4502	10.4183	10.5631
hsa-miR-222-5p	1.6888	1.5511	0.9674	0.4321	1.2233	1.0028	1.3298	1.3553	1.9445	2.1931	0.923	0.7886	1.707	0.4496	1.6035	1.2227	1.2439	0.9015	0.8914	1.0974	1.9949	1.0339	0.989	0.8736	0.8731	0.9752	0.2794	1.0858	0.4541	1.2488	0.8012	1.4586	0.9302	1.0122	1.2266	0.9797	1.0017	1.2302	2.1768	0.479	1.0834	1.4038	1.073	1.8727	1.2601	1.0526	0.6826	0.9838	1.7322	0.7454	0.8593	2.1834	1.1702	0.1747	1.3063	1.7259	1.4753	2.3129	1.2169	1.0758	1.3727	0.5035	1.8469	1.0803	0.5756	0.7072	1.239	1.346	1.6738	2.3012	1.392	0.7789	1.7752	1.6618	1.3834	1.2475	1.4564	0.9916	1.6119	1.3749	1.6013	1.0187	1.6826	0.7538	1.697	0.9251	0.7632	1.2334	1.0467	1.0039	0.4967	1.0852	0.621	1.2032
